Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Kindly man,15,0,0,0,6,1,0,0,0,0,1,1
Kojja Mo,15,0,0,0,35,0,0,0,0,0,1,0
Koss,15,1,2,14,5,1,0,0,1,0,0,0
Kraznys mo Nakloz,15,1,3,27,23,1,1,0,0,1,0,0
Kromm,15,1,2,66,56,1,0,0,1,0,0,0
Kurleket,15,1,1,31,31,1,0,1,0,0,0,0
Kurz,15,1,2,19,5,1,0,0,1,0,0,0
Kyle (Banners),15,1,3,39,39,1,0,0,0,1,0,0
Kyra,15,1,5,12,37,0,0,1,1,0,0,1
Lady of the Leaves,15,0,0,0,22,0,0,0,0,1,0,0
Lambert Turnberry,15,0,0,0,7,1,1,0,0,0,1,0
Lamprey,15,0,0,0,25,1,0,0,0,1,0,0
Lancel Lannister,15,0,0,0,47,1,1,1,1,1,1,1
Lanna (Happy Port),15,0,0,0,34,0,0,0,0,0,1,0
Lark,15,1,3,46,23,1,0,0,1,1,0,0
Larra Blackmont,15,0,0,0,38,0,1,0,0,1,0,0
Larraq,15,0,0,0,59,1,0,0,0,0,0,1
Leathers,15,0,0,0,35,1,0,0,0,0,0,1
Left Hand Lew,15,0,0,0,48,1,0,0,0,1,0,1
Lem,15,0,0,0,13,1,0,0,0,1,1,0
Lennocks,15,0,0,34,34,1,0,0,0,1,0,0
Lenwood Tawney,15,0,0,0,18,1,0,0,0,0,1,0
Leo Lefford,15,1,2,45,62,1,1,1,1,0,0,0
Leo Tyrell,15,0,0,0,0,1,1,0,0,0,1,0
Leobald Tallhart,15,1,2,66,16,1,1,0,1,0,0,0
Leona Woolfield,15,0,0,0,19,0,1,0,0,0,0,1
Leonette Fossoway,15,0,0,0,6,0,1,0,0,1,0,0
Lew,15,0,0,0,7,1,0,1,0,0,0,0
Lewis Lanster,15,0,0,0,25,1,0,0,0,0,0,1
Lewys Lydden,15,0,0,0,62,1,1,1,1,0,0,0
Lewys Piper,15,0,0,0,27,1,1,0,0,0,1,0
Lharys,15,1,1,34,31,1,1,1,0,0,0,0
Little Walder Frey,15,1,5,51,59,1,1,1,1,0,0,1
Lollys Stokeworth,15,0,0,0,2,0,1,0,1,1,0,0
Lommy,15,1,2,19,1,1,0,0,1,0,0,0
Loras Tyrell,15,0,0,0,18,1,1,1,1,1,1,0
Lorcas,15,0,0,0,45,1,0,0,0,0,1,0
Lord of Bones,15,1,5,10,68,1,1,0,1,1,0,1
Lorent Caswell,15,0,0,0,22,1,1,0,1,0,0,0
Lorren,15,1,2,66,37,1,0,0,1,0,0,0
Lothar Frey,15,0,0,0,35,1,1,0,0,1,0,0
Lothor Brune,15,0,0,0,29,1,1,1,1,1,1,0
Lucan,15,1,2,64,38,1,0,0,1,0,0,0
Lucas Blackwood,15,1,3,51,22,1,1,0,1,1,0,0
Lucas Codd,15,0,0,0,11,1,1,0,0,0,1,0
Lucias Vypren,15,0,0,0,49,1,1,0,0,1,0,0
Luco Prestayn,15,0,0,0,22,1,0,0,0,0,1,0
Luke of Longtown,15,0,0,0,35,1,0,0,0,0,0,1
Luton,15,1,5,51,37,1,0,0,0,0,0,1
Luwin,15,1,2,69,14,1,0,1,1,0,0,0
Lyle Crakehall,15,0,0,0,12,1,1,0,0,0,1,0
Lyman Darry,15,1,3,7,71,1,1,1,1,0,0,0
Lymond Goodbrook,15,0,0,0,45,1,1,0,0,1,0,0
Lymond Lychester,15,0,0,0,22,1,1,0,0,1,0,0
Lyn Corbray,15,0,0,0,38,1,1,1,0,0,1,0
Lyonel,15,0,0,0,38,1,0,0,1,0,0,0
Lysa Tully,15,1,3,0,34,0,1,1,0,1,0,0
Lysono Maar,15,0,0,0,24,1,0,0,0,0,0,1
Mace Tyrell,16,0,0,0,62,1,1,0,1,1,1,1
Mad Huntsman,16,0,0,0,29,1,0,0,0,1,0,0
Maege Mormont,16,0,0,0,53,0,1,1,0,1,0,0
Maerie (Goodwife),16,1,3,34,34,0,0,0,0,1,0,0
Maerie (Whore),16,1,3,34,34,0,0,0,0,1,0,0
Mag Mar Tun Doh Weg,16,1,3,64,15,1,1,0,0,1,0,0
Mago,16,0,0,0,61,1,0,1,0,0,0,0
Mallador Locke,16,1,5,18,13,1,0,0,1,1,0,0
Malliard,16,0,0,0,20,1,0,0,1,0,0,0
Mallor,16,0,0,0,63,1,0,1,0,0,0,0
Mance Rayder,16,0,0,0,15,1,1,0,0,1,0,1
Mandon Moore,16,1,2,61,51,1,1,1,1,0,0,0
Maric Seaworth,16,1,2,58,10,1,1,0,1,0,0,0
Marei,16,0,0,0,29,0,0,0,1,0,0,0
Margaery Tyrell,16,0,0,0,22,0,1,0,1,1,1,0
Marillion,16,1,4,23,28,1,0,1,0,1,1,0
Maris,16,0,0,0,58,0,0,0,0,0,0,1
Marissa Frey,16,0,0,0,49,0,1,0,0,1,1,0
Mariya Darry,16,0,0,0,30,0,1,0,0,0,1,0
Mark Mullendore,16,0,0,0,22,1,1,0,1,0,0,0
Marlon Manderly,16,0,0,0,19,1,1,0,0,0,0,1
Maron Volmark,16,0,0,0,18,1,1,0,0,0,1,0
Marq Piper,16,0,0,0,56,1,1,1,0,1,0,0
Martyn Rivers,16,0,0,0,29,1,1,1,1,1,0,0
Marwyn,16,0,0,0,0,1,0,0,0,0,1,0
Marwyn Belmore,16,0,0,0,10,1,1,0,0,0,1,0
Masha Heddle,16,1,1,56,28,0,0,1,0,0,0,0
Maslyn,16,1,3,18,0,1,0,0,0,1,0,0
Mathis Rowan,16,0,0,0,22,1,1,0,1,1,1,0
Mathos Mallarawan,16,0,0,0,40,1,1,0,1,0,0,0
Matrice,16,0,0,0,0,0,0,0,1,0,0,0
Matthos Seaworth,16,1,2,58,10,1,1,0,1,0,0,0
Matthar,16,0,0,0,41,1,0,1,0,0,0,0
Mawney,16,1,5,4,18,1,0,0,0,1,0,1
Mebble,16,0,0,0,47,1,0,0,1,0,0,0
Medger Cerwyn,16,1,2,30,53,1,1,1,1,0,0,0
Meera Reed,16,0,0,0,21,0,1,0,1,1,0,1
Megga Tyrell,16,0,0,0,6,0,1,0,0,1,1,0
Meha,16,0,0,0,0,0,0,0,0,0,0,1
Mela,16,0,0,0,23,0,0,0,0,0,1,0
Meldred Merlyn,16,0,0,0,1,1,1,0,0,0,1,0
Meliana,16,0,0,0,69,0,0,0,0,1,0,0
Melisandre,16,0,0,0,0,0,0,0,1,1,0,1
Mellei,16,0,0,0,40,0,0,0,0,0,1,0
Melly,16,0,0,0,34,0,0,0,0,1,0,0
Meredyth Crane,16,0,0,0,61,0,1,0,0,1,1,0
Meribald,16,0,0,0,25,1,0,0,0,0,1,0
Merlon Crakehall,16,0,0,0,38,1,1,0,0,1,0,0
Mero,16,1,3,57,42,1,0,0,0,1,0,0
Merrett Frey,16,1,3,0,59,1,1,1,0,1,0,0
Meryn Trant,16,0,0,0,8,1,1,1,1,1,1,1
Mezzara,16,0,0,0,2,0,1,0,0,0,0,1
Mikken,16,1,2,46,8,1,0,1,1,0,0,0
Miklaz,16,0,0,0,2,1,1,0,0,0,0,1
Mirri Maz Duur,16,1,1,72,61,0,0,1,0,0,0,0
Missandei,16,0,0,0,23,0,0,0,0,1,0,1
Mohor,16,1,1,31,31,1,1,1,0,0,0,0
Mollander,16,0,0,0,0,1,0,0,0,0,1,0
Monford Velaryon,16,1,3,25,0,1,1,0,1,0,0,0
Monster,16,0,0,0,33,1,0,0,0,1,1,1
Moon Boy,16,0,0,0,29,1,0,1,1,1,1,0
Moqorro,16,0,0,0,33,1,0,0,0,0,0,1
Mord,16,0,0,0,38,1,0,1,0,0,1,0
Mordane,16,1,1,67,7,0,0,1,0,0,0,0
Moreo Tumitis,16,0,0,0,18,1,0,1,0,0,0,0
Morgarth,16,0,0,0,41,1,0,0,0,0,1,0
Morna White Mask,16,0,0,0,48,0,1,0,0,0,0,1
Moro,16,0,0,0,3,1,1,1,0,0,0,0
Morra,16,0,0,0,40,0,0,0,0,0,1,0
Morrec,16,1,1,31,13,1,0,1,0,0,0,0
Morros Slynt,16,0,0,0,2,1,1,0,1,1,0,0
Mors Manwoody,16,0,0,0,38,1,1,0,0,1,0,0
Mors Umber,16,0,0,0,21,1,1,0,1,0,0,0
Morton Waynwood,16,0,0,0,40,1,1,1,0,0,0,0
Mudge (miller),16,1,3,34,34,1,0,0,0,1,0,0
Mully,16,0,0,0,55,1,0,0,0,1,1,1
Munciter,16,0,0,0,20,1,0,0,1,0,0,0
Murch,16,0,0,0,9,1,0,0,1,0,0,0
Murch (Winterfell),16,0,0,0,50,1,0,0,1,0,0,0
Mossador,16,1,5,11,11,1,0,0,0,1,0,1
Murenmure,16,0,0,0,1,1,0,0,0,0,1,0
Muttering Bill,16,1,5,4,0,1,0,0,0,1,0,1
Mya Stone,16,0,0,0,34,0,0,1,0,0,1,0
Mycah,16,1,1,16,15,1,0,1,0,0,0,0
Myles,16,0,0,0,2,1,0,0,0,0,1,1
Myles Manwoody,16,0,0,0,38,1,1,0,0,1,0,0
Myranda Royce,16,0,0,0,41,0,1,0,0,0,1,0
Myrcella Baratheon,16,0,0,0,5,0,1,1,1,0,1,0
Myria Jordayne,16,0,0,0,38,0,0,0,0,1,0,1
Myrtle,16,1,5,69,37,0,0,0,0,0,0,1
Nage,16,0,0,0,44,1,0,0,0,1,0,0
Myles,16,1,2,39,39,1,0,0,1,0,0,0
Nan,16,0,0,0,1,0,0,1,1,0,0,0
Narbert,16,0,0,0,31,1,0,0,0,0,1,0
Nestor Royce,16,0,0,0,34,1,1,1,0,0,1,0
Nolla,16,1,3,34,34,0,0,0,0,1,0,0
Norjen,16,0,0,0,1,1,0,0,0,0,1,0
Nurse,16,1,5,57,57,1,0,0,0,0,0,1
Notch,16,0,0,0,43,1,0,0,0,1,0,0
Nute,16,0,0,0,18,1,0,0,0,0,1,0
Nymella Toland,16,0,0,0,38,0,1,0,0,0,0,1
Nymeria Sand,16,0,0,0,2,0,1,0,0,0,1,1
Obara Sand,16,0,0,0,2,0,1,0,0,0,1,1
Oberyn Martell,16,1,3,70,38,1,1,0,0,1,0,0
Ogo,16,1,1,61,46,1,1,1,0,0,0,0
Old Henly,16,1,3,55,55,1,0,0,0,1,0,0
Olenna Redwyne,16,0,0,0,19,0,1,0,0,1,1,0
Ollo Lophand,16,1,5,4,0,1,0,0,0,1,0,1
Olyvar Frey,16,0,0,0,59,1,1,1,0,0,0,0
Ondrew Locke,16,0,0,0,37,1,1,0,0,0,0,1
Oppo,16,1,4,17,60,1,0,0,0,1,1,0
Orell,16,1,2,51,51,1,0,0,1,0,0,0
Orphan Oss,16,1,5,4,0,1,0,0,0,1,0,1
Orton Merryweather,16,0,0,0,11,1,1,0,0,1,1,0
Osfryd Kettleblack,16,0,0,0,41,1,1,0,1,1,1,0
Osha,16,0,0,0,37,0,0,1,1,0,0,0
Osmund Kettleblack,16,0,0,0,41,1,1,0,1,1,1,0
Osney Kettleblack,16,0,0,0,41,1,1,0,1,1,1,0
Ossy,16,0,0,0,41,1,0,0,0,0,1,0
Oswell Kettleblack,16,0,0,0,68,1,1,0,0,1,0,0
Othell Yarwyck,16,0,0,0,48,1,0,1,0,1,0,1
Ottyn Wythers,16,1,3,48,13,1,0,0,1,1,0,0
Owen,16,0,0,0,55,1,0,0,0,1,0,1
Owen Norrey,16,1,3,51,51,1,1,0,0,1,0,0
Oznak zo Pahl,16,1,3,57,57,1,1,0,0,1,0,0
Palla,16,0,0,0,46,0,0,0,1,0,0,0
Parmen Crane,16,0,0,0,22,1,1,0,1,0,0,0
Patchface,16,0,0,0,0,1,0,0,1,1,0,1
Pate (novice),16,1,4,0,0,1,0,0,0,0,1,0
Pate (Lancewood),16,1,3,34,34,1,0,0,0,1,0,0
Pate (Night s Watch),16,0,0,0,60,1,0,1,0,0,0,0
Pate (Old),16,0,0,34,13,1,0,0,0,1,0,0
Patrek of King s Mountain,16,1,5,69,44,1,1,0,0,0,0,1
Patrek Mallister,16,0,0,0,28,1,1,1,0,1,0,0
Paxter Redwyne,16,0,0,0,65,1,1,0,1,1,1,0
Pello,16,0,0,0,17,1,0,0,0,1,0,0
Penny,16,0,0,0,60,0,0,0,0,1,0,1
Perros Blackmont,16,0,0,0,38,1,1,0,0,1,0,0
Perwyn Frey,16,0,0,0,29,1,1,1,1,0,0,0
Petyr Baelish,16,0,0,0,18,1,0,1,1,1,1,0
Petyr Frey,16,1,3,0,49,1,1,0,0,1,0,0
Philip Foote,16,0,0,0,65,1,1,0,1,1,0,0
Pia,16,0,0,0,30,0,0,0,1,0,1,0
Podrick Payne,16,0,0,0,62,1,1,1,1,1,1,0
Polliver,16,1,3,27,26,1,0,0,1,1,0,0
Pono,16,0,0,0,68,1,1,1,0,0,0,0
Porridge,16,0,0,0,25,1,0,0,0,1,0,0
Porther,16,1,2,21,22,1,0,1,1,0,0,0
Poul Pemford,16,1,2,39,39,1,0,0,1,0,0,0
Poxy Tym,16,1,2,69,16,1,0,0,1,0,0,0
Praed,16,1,2,9,5,1,0,0,1,0,0,0
Prendahl na Ghezn,16,1,3,42,42,1,0,0,0,1,0,0
Preston Greenfield,16,1,2,41,43,1,0,1,1,0,0,0
Pyat Pree,16,0,0,0,12,1,1,0,1,0,0,0
Pycelle,16,1,5,0,20,1,0,1,1,1,1,1
Pyg,16,1,4,20,20,1,0,0,0,1,1,0
Pylos,16,0,0,0,0,1,0,0,1,1,0,0
Pypar,16,0,0,0,19,1,0,1,0,1,1,1
Qarl Shepherd,16,0,0,0,26,1,0,0,0,0,0,1
Qarl the Maid,16,0,0,0,42,1,0,0,1,0,1,1
Qezza,16,0,0,0,2,0,0,0,0,0,0,1
Qhorin Halfhand,16,1,2,68,43,1,0,0,1,0,0,0
Qotho,16,1,1,61,11,1,0,1,0,0,0,0
Quaithe,16,0,0,0,12,0,1,0,1,1,0,1
Quaro,16,1,1,64,50,1,0,1,0,0,0,0
Quellon Humble,16,0,0,0,18,1,1,0,0,0,1,0
Quent,16,0,0,0,37,1,0,1,0,0,0,0
Quenten Banefort,16,0,0,0,16,1,1,0,0,0,1,0
Quentyn Martell,16,1,5,70,6,1,1,0,0,0,0,1
Quhuru Mo,16,0,0,0,27,1,0,0,1,0,1,0
Qyburn,16,0,0,0,64,1,0,0,1,1,1,1
Quort,16,1,3,55,41,1,0,0,0,1,0,0
Qyle,16,1,2,2,2,1,0,0,1,0,0,0
Rafford,16,0,0,0,19,1,0,0,1,0,1,0
Ragnor Pyke,16,0,0,0,29,1,0,0,0,0,1,0
Ragwyle,16,0,0,0,68,0,0,0,1,0,0,0
Rakharo,16,0,0,0,54,1,0,1,1,1,0,1
Ralf Kenning,16,1,5,20,18,1,0,0,0,0,1,1
Ralf Stonehouse,16,0,0,0,18,1,1,0,0,0,0,1
Ralf the Limper,16,0,0,0,18,1,0,0,0,0,1,1
Ramsay Snow,16,0,0,0,16,1,1,0,1,0,0,1
Randa,16,1,3,34,34,0,0,0,0,1,0,0
Randyll Tarly,16,0,0,0,22,1,1,0,1,0,1,1
Rast,16,1,3,26,55,1,0,1,0,1,0,0
Ravella Swann,16,0,0,0,22,0,1,0,0,1,0,0
Raymar Royce,16,0,0,0,45,1,1,0,0,1,0,0
Raymun Darry,16,1,1,55,16,1,1,1,0,0,0,0
Raymund Frey,16,0,0,0,49,1,1,0,0,1,0,0
Raynald Westerling,16,1,3,44,14,1,1,0,0,1,1,0
Red Alyn,16,1,3,69,55,1,0,0,0,1,0,0
Red Rolfe,16,1,2,66,66,1,0,0,1,0,0,0
Reek,16,1,2,35,16,1,0,0,1,0,0,0
Renly Baratheon,16,1,2,33,15,1,1,1,1,0,0,0
Reysen,16,0,0,0,5,1,0,0,1,0,0,0
Reznak mo Reznak,16,0,0,0,2,1,1,0,0,0,0,1
Rhaegar Frey,16,1,5,29,19,1,1,0,0,0,0,1
Rhogoro,16,0,0,0,3,1,1,1,0,0,0,0
Ricasso,16,0,0,0,2,1,0,0,0,0,1,1
Richard Horpe,16,0,0,0,17,1,1,0,0,0,0,1
Rickard Karstark,16,1,3,20,53,1,1,1,1,1,0,0
Rickard Ryswell,16,0,0,0,20,1,1,0,0,0,0,1
Rickon Stark,16,0,0,0,7,1,1,1,1,0,0,0
Rigney,16,0,0,0,11,1,0,0,0,0,1,0
Robar Royce,16,1,2,6,29,1,1,1,1,1,0,0
Robb Stark,16,1,3,51,1,1,1,1,1,1,0,0
Robert Baratheon,16,1,1,47,4,1,1,1,0,0,0,0
Robert Arryn,16,0,0,0,40,1,1,1,0,1,1,0
Robett Glover,16,0,0,0,53,1,1,1,1,0,0,1
Robin Flint,16,1,3,51,63,1,1,1,1,1,0,0
Robin Moreland,16,0,0,0,16,1,1,0,0,0,1,0
Robin Ryger,16,0,0,0,7,1,1,0,1,1,1,0
Rodrik Cassel,16,1,2,66,7,1,1,1,1,0,0,0
Rodrik Harlaw,16,0,0,0,11,1,1,0,0,0,1,0
Rodrik Ryswell,16,0,0,0,32,1,1,0,0,0,0,1
Roger Hogg,16,0,0,0,27,1,1,0,0,0,1,0
Roger Ryswell,16,0,0,0,20,1,1,0,0,0,0,1
Roland Crakehall (Lord),16,0,0,0,32,1,1,0,1,0,0,0
Rolder,16,0,0,0,21,1,0,0,0,0,1,0
Rolfe,16,0,0,0,24,1,0,0,1,0,0,0
Rollam Westerling,16,0,0,0,14,1,1,0,0,1,0,0
Rolfe the Dwarf,16,1,5,26,26,1,0,0,0,0,0,1
Rolley,16,1,3,33,0,1,0,0,0,1,0,0
Rolly Duckfield,16,0,0,0,8,1,0,0,0,0,0,1
Rolph Spicer,16,0,0,0,14,1,1,0,0,1,0,0
Romny Weaver,16,0,0,0,18,1,1,0,0,0,1,0
Ronald Storm,16,0,0,0,61,1,0,0,0,0,0,1
Ronnel Harclay,16,0,0,0,48,1,1,0,0,1,0,0
Ronnet Connington,16,0,0,0,22,1,1,0,1,0,1,1
Roose Bolton,16,0,0,0,33,1,1,1,1,1,0,1
Roose Ryswell,16,0,0,0,32,1,1,0,0,0,0,1
Rorge,16,1,4,37,1,1,0,0,1,1,1,0
Roslin Frey,16,0,0,0,35,0,1,0,0,1,0,0
Rowan,16,1,5,69,37,1,0,0,0,0,0,1
Rudge,16,0,0,0,60,1,0,1,0,0,0,0
Rusty Flowers,16,0,0,0,7,1,0,0,0,0,0,1
Ryger Rivers,16,0,0,0,59,1,0,1,0,0,0,0
Ryk,16,0,0,0,7,1,0,0,0,1,0,0
Rupert Brax,16,1,2,32,32,1,0,0,1,0,0,0
Ryman Frey,16,1,4,44,14,1,1,0,0,1,1,0
Rymolf Stormdrunk,16,0,0,0,24,1,0,0,1,0,0,0
Ryon Allyrion,16,0,0,0,38,1,1,0,0,1,0,1
Salladhor Saan,16,0,0,0,0,1,1,0,1,1,0,0
Sallor,16,1,3,42,42,1,0,0,0,1,0,0
Samwell Tarly,16,0,0,0,70,1,1,1,1,1,1,1
Sandor Clegane,16,1,4,31,7,1,1,1,1,1,1,0
Sawane Botley,16,1,4,18,1,1,1,0,0,0,1,0
Sansa Stark,16,0,0,0,7,0,1,1,1,1,1,0
Sarella Sand,16,0,0,0,2,0,0,0,0,0,1,0
Sarra Frey,16,0,0,0,49,0,1,0,0,1,0,0
Satin,16,0,0,0,6,1,0,0,1,1,0,1
Sawwood,16,0,0,0,0,1,0,0,0,1,0,0
Sedgekins,16,0,0,0,50,1,0,0,0,1,0,0
Selyse Florent,16,0,0,0,0,0,1,0,1,1,0,1
Senelle,17,1,4,24,3,0,0,0,0,0,1,0
Serra Frey,17,0,0,0,49,0,1,0,0,1,0,0
Shadrich,17,0,0,0,4,1,0,0,0,0,1,0
Shae,17,1,3,77,62,0,0,1,1,1,0,0
Shagga,17,0,0,0,39,1,0,1,1,0,0,0
Shagwell,17,1,4,20,30,1,0,0,1,1,1,0
Sharna,17,0,0,0,11,0,0,0,0,1,0,0
Shireen Baratheon,17,0,0,0,0,0,1,0,1,1,0,1
Shirei Frey,17,0,0,0,49,0,1,0,0,1,0,0
Shyra Errol,17,1,4,0,42,0,1,0,1,0,0,0
Sigfry Stonetree,17,0,0,0,19,1,1,0,0,0,1,0
Skahaz mo Kandaq,17,0,0,0,2,1,1,0,0,0,0,1
Skinner,17,0,0,0,12,1,0,0,0,0,0,1
Small Paul,17,1,3,18,0,1,0,0,0,1,0,0
Softfoot,17,1,3,18,0,1,0,0,0,1,0,0
Sour Alyn,17,0,0,0,12,1,0,0,0,0,0,1
Spare Boot,17,0,0,0,55,1,0,0,0,1,0,0
Spotted Cat,17,0,0,0,11,1,0,0,0,0,0,1
Spotted Pate of Maidenpool,17,1,3,55,0,1,0,0,0,1,0,0
Squint,17,1,2,50,50,1,0,0,1,0,0,0
Squirrel,17,1,5,69,37,0,0,0,0,0,0,1
Stalwart Shield,17,1,5,2,2,1,0,0,0,0,0,1
Steelskin,17,0,0,0,11,1,0,0,0,0,0,1
Steffon Swyft,17,0,0,0,27,1,1,0,0,0,1,0
Stevron Frey,17,1,2,35,59,1,1,1,1,0,0,0
Stiv,17,1,1,37,37,1,0,1,0,0,0,0
Stone Thumbs,17,1,3,55,41,1,0,0,0,1,0,0
Stonesnake,17,0,0,0,43,1,0,0,1,0,0,0
Stygg,17,0,0,0,37,1,0,0,1,0,0,0
Styr,17,1,3,26,7,1,1,0,0,1,0,0
Sybassion,17,0,0,0,63,1,0,0,1,0,0,0
Sybell Spicer,17,0,0,0,14,0,1,0,0,1,1,0
Sybelle Glover,17,0,0,0,26,0,1,0,0,0,0,1
Sylva Santagar,17,0,0,0,21,0,1,0,0,0,1,0
Symon Silver Tongue,17,1,3,32,44,1,0,0,1,1,0,0
Symon Stripeback,17,0,0,0,70,1,0,0,0,0,0,1
Symond Frey,17,1,5,29,19,1,1,0,0,0,0,1
Symond Templeton,17,0,0,0,10,1,1,0,0,0,1,0
Syrio Forel,17,1,1,50,22,1,0,1,0,0,0,0
Taena of Myr,17,0,0,0,6,0,1,0,0,1,1,0
Tal Toraq,17,0,0,0,70,1,0,0,0,0,0,1
Tallad,17,0,0,0,17,1,0,0,1,1,1,0
Tanda Stokeworth,17,1,4,32,2,0,1,0,1,1,0,0
Tanton Fossoway,17,0,0,0,22,1,1,0,1,0,0,0
Ternesio Terys,17,0,0,0,74,1,0,0,0,1,0,0
Terrance Lynderly,17,0,0,0,41,1,1,0,0,0,1,0
The Red Lamb,17,0,0,0,67,1,0,0,0,0,0,1
Theo Frey,17,0,0,0,29,1,1,1,0,0,0,0
Theodan Wells,17,0,0,0,43,1,1,0,0,0,1,1
Theomore Lannister,17,0,0,0,19,1,1,0,0,0,0,1
Theon Greyjoy,17,0,0,0,1,1,1,1,1,0,0,1
Thistle,17,1,5,0,0,0,0,0,0,0,0,1
Thoren Smallwood,17,1,3,18,6,1,1,0,1,1,0,0
Thoros,17,0,0,0,29,1,0,1,0,1,1,0
Three Toes,17,0,0,0,44,1,0,0,0,1,0,0
Three-Tooth,17,0,0,0,11,0,0,0,0,0,1,0
Tickler,17,1,3,74,26,1,0,0,1,1,0,0
Tim Tangletongue,17,0,0,0,69,1,0,0,0,1,0,0
Timeon,17,1,4,20,21,1,0,0,0,1,1,0
Timett,17,0,0,0,56,1,0,1,1,0,0,0
Timon,17,0,0,0,65,1,0,0,1,0,0,0
Tion Frey,17,1,3,20,20,0,1,0,0,1,0,0
Tobho Mott,17,0,0,0,27,1,0,1,0,1,0,0
Todder,17,0,0,0,19,1,0,1,0,1,0,1
Todric,17,1,2,37,37,1,0,0,1,0,0,0
Tom of Sevenstreams,17,0,0,0,13,1,0,0,0,1,1,0
Tomard,17,1,1,49,22,1,0,1,0,0,0,0
Tormund,17,0,0,0,7,1,1,0,0,1,0,1
Torrek,17,0,0,0,42,1,0,1,0,0,0,0
Torrhen Karstark,17,1,1,63,53,1,1,1,0,0,0,0
Tothmure,17,1,2,64,30,1,0,0,1,0,0,0
Tregar,17,1,1,39,35,1,0,1,0,0,0,0
Tremond Gargalen,17,0,0,0,38,1,1,0,0,1,0,1
Tristifer Botley,18,0,0,0,11,1,1,0,0,0,1,1
Triston Sunderland,18,0,0,0,9,1,1,0,0,0,0,1
Tuffleberry,18,0,0,0,38,1,0,0,1,0,0,0
Tumberjon,18,0,0,0,0,1,0,0,0,1,0,0
Tumco Lho,18,0,0,0,67,1,0,0,0,0,0,1
Tybero Istarion,18,0,0,0,66,1,0,0,0,0,0,1
Tycho Nestoris,18,0,0,0,44,1,0,0,0,0,0,1
Tyene Sand,18,0,0,0,38,0,1,0,0,0,1,1
Tymor,18,1,2,66,37,1,0,0,1,0,0,0
Tyrek Lannister,18,1,2,41,30,1,1,1,1,0,0,0
Tyrion Lannister,18,0,0,0,4,1,1,1,1,1,0,1
Tyta Frey,18,0,0,0,49,0,1,0,0,1,0,0
Tytos Blackwood,18,0,0,0,56,1,1,1,0,1,0,1
Tytos Brax,18,0,0,0,63,1,1,1,1,0,0,0
Tytos Frey,18,1,3,0,0,1,1,0,0,1,0,0
Tywin Lannister,18,1,3,77,42,1,1,1,1,1,0,0
Ulf son of Umar,18,1,1,62,56,1,0,1,0,0,0,0
Ulf the Ill,19,1,2,66,66,1,0,0,1,0,0,0
Ulmer,19,0,0,0,33,1,0,0,0,1,0,1
Ulwyck Uller,19,0,0,0,38,1,1,0,0,1,0,1
Umar,19,0,0,0,56,1,0,1,0,0,0,0
Umfred,19,0,0,0,68,1,0,0,0,1,0,0
Unella,19,0,0,0,43,1,0,0,0,0,1,0
Urreg,19,1,2,19,14,1,0,0,1,0,0,0
Urswyck,19,0,0,0,21,1,0,0,0,1,0,0
Utherydes Wayn,19,0,0,0,71,1,0,1,1,1,0,0
Utt,19,1,3,39,30,1,0,0,1,1,0,0
Val,19,0,0,0,7,0,0,0,0,1,0,1
Varamyr,19,1,5,0,15,1,0,0,0,1,0,1
Vardis Egen,19,1,1,40,34,1,0,1,0,0,0,0
Vargo Hoat,19,1,3,20,30,1,0,0,1,1,0,0
Varys,19,0,0,0,25,1,0,1,1,1,0,1
Vayon Poole,19,1,1,21,7,1,0,1,1,0,0,0
Victarion Greyjoy,19,0,0,0,24,1,1,0,1,0,1,1
Viserys Targaryen,19,1,1,46,3,1,1,1,0,0,0,0
Vylarr,19,0,0,0,3,1,0,0,1,0,0,0
Vyman,19,0,0,0,55,1,0,0,1,1,1,0
Waif,19,0,0,0,6,0,0,0,0,0,1,1
Walda Rivers (daughter of Aemon),19,0,0,0,49,0,1,0,0,1,0,0
Walder Frey,20,0,0,0,28,1,1,1,0,1,0,0
Walder Rivers,20,0,0,0,35,1,1,0,0,1,1,0
Wallen,20,1,1,37,37,1,0,1,0,0,0,0
Walton,20,0,0,0,64,1,0,0,1,1,0,1
Wat (orphan),20,0,0,0,37,1,0,0,0,0,1,0
Wat (sailor),20,0,0,0,34,1,0,0,0,0,1,0
Watt,20,1,3,75,69,1,0,0,0,1,0,0
Watty,20,0,0,0,39,1,0,0,0,1,0,0
Waymar Royce,20,1,1,0,0,1,1,1,0,0,0,0
Wayn (guard),20,0,0,0,37,1,0,1,0,0,0,0
Weasel,20,0,0,0,9,0,0,0,1,0,0,0
Weeper,20,0,0,0,7,1,1,0,0,1,0,0
Weese,20,1,2,38,26,1,0,0,1,0,0,0
Wendel Manderly,20,1,3,51,55,1,1,1,1,1,0,0
Wendello Qar Deeth,20,0,0,0,40,1,1,0,1,0,0,0
Werlag,21,1,2,66,37,1,0,0,1,0,0,0
Wex Pyke,21,0,0,0,24,1,0,0,1,0,0,1
Whalen Frey,21,0,0,0,59,1,1,1,0,1,0,0
Wilbert,21,1,3,29,29,1,0,0,0,1,0,0
Will,21,1,1,0,0,1,0,1,0,0,0,0
